,session_id,session_name,start_datetime,end_datetime
467,124,Data-driven and Optimization Foundations for Emerging Mobility Systems,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
471,125,Reliable and Scalable Urban Air Mobility,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
475,126,2024 RAS Student Paper Competition,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
479,127,New Topics in BOM,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
483,128,Queueing Theory and Applications,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
487,129,Generative Diffusion Models: Theories and Applications,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
491,130,Design of Experiments: From A/B Testing to Adaptive Experimentation,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
496,131,Simulation Models for Intermodal Transportation and Future Mobility,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
501,132,Emerging Technologies in Healthcare,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
505,133,Drone Use in Healthcare,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
509,134,Data-driven Research on Healthcare Operations,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
513,135,Revenue Management in Supply Chain,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
517,136,Operations and Society,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
520,137,Responsible Operations and Workforce Management,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
524,138,Empirical Studies in OM and Finance Interface,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
529,139,Technology and Future of Work,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
533,140,"Supply Transparency, Food Waste, and Carbon Emissions",5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
537,141,Ethically and Environmentally Responsible Operations,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
542,142,Humanitarian and Disaster Operations Management II,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
547,143,Substance Use Disorders and Other Stigmatized Medical Needs,5/19/2024  11:00:00 PM,5/19/2024  12:00:00 PM
